StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4
2024-10-28 13:24:23,2024-10-28 13:26:03,IP Address,100,99,True,2024-10-28 13:26:03,R_1lSuxb1MA4oxmlH,anonymous,EN,1,BJ's,,25,10,9,11,16,,3,Other,Oishii,4,5,2,1,3,,14,,4
2024-10-28 13:24:42,2024-10-28 13:27:47,IP Address,100,184,True,2024-10-28 13:27:48,R_6soHH3ovmHWhqW7,anonymous,EN,0.8999999761581421,Walmart,,20,10,10,10,0,,0,Pokelava,,2,3,4,5,1,0,20,0,0
2024-10-28 13:20:58,2024-10-28 14:12:53,IP Address,100,3114,True,2024-10-28 14:12:53,R_3lpUM2SNjRpUjEB,anonymous,EN,1,Aldi's,Not any,29,57,42,9,0,,0,Other,None,1,2,3,4,5,41,11,23,57
2024-10-28 18:29:06,2024-10-28 18:30:41,IP Address,100,94,True,2024-10-28 18:30:41,R_3r2MtAEzUxhfV7W,anonymous,EN,1,Trader Joe's,,19,7,8,2,10,,1,Pokelava,,2,5,4,1,3,9,18,0,
2024-10-28 18:47:57,2024-10-28 18:51:32,IP Address,100,215,True,2024-10-28 18:51:32,R_3qaplpi5fN8lajT,anonymous,EN,1,Aldi's,,30,20,15,3,3,35,4,Pokelava,,2,1,4,5,3,5,23,7,5
2024-10-28 18:47:21,2024-10-28 18:52:24,IP Address,100,302,True,2024-10-28 18:52:24,R_6x6SdS1TZr4clVL,anonymous,EN,1,Aldi's,,10,10,7,10,6,12,3,Wings Over Ithaca,,2,1,5,4,3,,17,,5
2024-10-28 21:40:49,2024-10-28 21:43:43,IP Address,100,173,True,2024-10-28 21:43:43,R_5FrEyXYS5dls4lT,anonymous,EN,1,Aldi's,,30,10,10,10,20,60,0,Other,"I don’t go to restaurants except campus to spend brbs ",2,1,3,5,4,31,20,20,
2024-10-29 08:21:45,2024-10-29 08:24:18,IP Address,100,153,True,2024-10-29 08:24:18,R_6Gv0adei1s1z738,anonymous,EN,1,Aldi's,,20,10,10,5,5,26,2,Pokelava,,2,3,5,4,1,10,25,5,6
2024-10-29 09:43:23,2024-10-29 09:47:35,IP Address,100,252,True,2024-10-29 09:47:36,R_33O8xCyQqeU9Msh,anonymous,EN,1,Walmart,none,5,0,0,0,0,10,3,Pokelava,none,3,4,2,1,5,7,20,0,
2024-10-29 09:55:08,2024-10-29 09:56:37,IP Address,100,88,True,2024-10-29 09:56:37,R_36eVv3JHjUlaT3r,anonymous,EN,1,Wegmans,,21,12,7,8,0,30,1,Other,Ninja Chicken,2,4,5,1,3,0,17,7,0
2024-10-29 10:52:58,2024-10-29 10:54:40,IP Address,100,101,True,2024-10-29 10:54:40,R_3qC35ZM4kelg7lr,anonymous,EN,1,GreenStar,,30,15,20,10,40,30,2,Wings Over Ithaca,,3,1,4,5,2,20,25,15,10
2024-10-29 11:38:29,2024-10-29 11:40:36,IP Address,100,126,True,2024-10-29 11:40:36,R_6Se1fSMCfbTobvz,anonymous,EN,1,Aldi's,,10,6,10,8,10,15,1,Pokelava,,3,2,4,5,1,7,14,0,4
2024-10-29 12:16:55,2024-10-29 12:19:35,IP Address,100,159,True,2024-10-29 12:19:35,R_5RVqUolEFLsnR73,anonymous,EN,1,Wegmans,,20,15,10,10,49,49,5,Other,"On campus ",5,2,4,3,1,21,34,14,8
2024-10-29 12:16:20,2024-10-29 12:19:43,IP Address,100,202,True,2024-10-29 12:19:43,R_1lKMZ7Z6D2FgQ79,anonymous,EN,1,Trader Joe's,,92,75,77,28,76,87,1,Pokelava,,4,5,2,3,1,25,25,20,11
2024-10-29 12:57:10,2024-10-29 12:59:20,IP Address,100,130,True,2024-10-29 12:59:20,R_5LNwaNAFMo3L6pP,anonymous,EN,1,Wegmans,,40,7,11,11,30,55,8,Other,BibiBowl,4,2,5,1,3,4,25,5,16
2024-10-29 13:10:13,2024-10-29 13:12:59,IP Address,100,166,True,2024-10-29 13:13:00,R_7sdGA63wWWtYdEM,anonymous,EN,0.800000011920929,Aldi's,,10,10,5,25,10,25,14,Moosewood,,,,,,,50,5,5,10
2024-10-29 13:25:14,2024-10-29 13:27:20,IP Address,100,126,True,2024-10-29 13:27:20,R_63adCzKCmYyTaJw,anonymous,EN,1,Trader Joe's,,15,20,15,0,5,10,1,Pokelava,,2,3,4,5,1,0,15,5,0
2024-10-29 17:53:43,2024-10-29 17:55:46,IP Address,100,122,True,2024-10-29 17:55:47,R_1xlQl077dNmRwIh,anonymous,EN,1,Trader Joe's,,15,11,12,9,10,25,3,Other,Asian Chili Spot,1,3,4,2,5,,26,10,6
2024-10-30 08:27:19,2024-10-30 08:28:32,IP Address,100,72,True,2024-10-30 08:28:32,R_7HCE2XnCBGADH8A,anonymous,EN,1,Wegmans,,8,8,8,0,10,19,2,Thompson and Bleeker,,4,5,2,1,3,,,,
2024-10-28 08:01:12,2024-10-28 08:02:20,IP Address,11,67,False,2024-11-04 07:02:26,R_7MMnZIDaYYzgqfq,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-28 11:29:56,2024-10-28 11:30:57,IP Address,11,61,False,2024-11-04 10:30:59,R_7KvGBboCJm9SOcI,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-28 11:50:19,2024-10-28 11:50:26,IP Address,11,6,False,2024-11-04 10:50:30,R_7n6hH3uxvYdGsmv,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-28 11:36:34,2024-10-28 11:54:57,IP Address,44,1103,False,2024-11-04 10:55:03,R_1CJefm4QGiyI4d6,anonymous,EN,1,Other,Shoprite,10,20,20,0,30,,,,,,,,,,,,,
2024-10-28 13:51:19,2024-10-28 13:52:13,IP Address,44,53,False,2024-11-04 12:52:18,R_6TMhesyzyaQOj1V,anonymous,EN,1,Wegmans,,0,0,0,0,0,,,,,,,,,,,,,
2024-10-28 15:18:06,2024-10-28 15:18:18,IP Address,11,11,False,2024-11-04 14:18:19,R_1FYBLGnSu8BBRNT,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-28 16:56:59,2024-10-28 17:02:10,IP Address,11,310,False,2024-11-04 16:02:14,R_1TMBxgB0kNJrgel,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-28 20:06:28,2024-10-28 20:06:44,IP Address,11,16,False,2024-11-04 19:06:49,R_5MMbFOVfIzebve9,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-29 08:45:51,2024-10-29 08:47:53,IP Address,44,121,False,2024-11-05 07:47:56,R_71m9SWhBUOXelvX,anonymous,EN,1,Aldi's,Na,10,0,4,5,0,9,,,,,,,,,,,,
2024-10-29 10:21:25,2024-10-29 10:21:29,IP Address,11,3,False,2024-11-05 09:21:37,R_5V9yLq6EDWP9a8h,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-29 11:56:38,2024-10-29 11:57:43,IP Address,11,65,False,2024-11-05 10:57:50,R_52a9DbA2oHDeKY1,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-29 12:23:44,2024-10-29 12:25:58,IP Address,11,133,False,2024-11-05 11:25:59,R_11T8CrJ9Uasq8OB,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-29 16:16:47,2024-10-29 16:16:53,IP Address,11,5,False,2024-11-05 15:16:58,R_1IRhe0ff3dRdtQr,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-29 11:41:44,2024-10-29 18:06:36,IP Address,11,23091,False,2024-11-05 17:06:44,R_57HUikcaZ4jtWrn,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-29 18:26:03,2024-10-29 18:26:06,IP Address,11,3,False,2024-11-05 17:26:08,R_5RmrTSWzxbljA3L,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
2024-10-30 08:29:16,2024-10-30 08:29:27,IP Address,11,11,False,2024-11-06 07:29:28,R_3itAvWCv9LnQVmy,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,
